Rank,r_value,z_value,MNI_x,MNI_y,MNI_z
1,0.9453,1.7852,0.0,-86.0,2.0
2,0.9446,1.7795,0.0,-86.0,0.0
3,0.9415,1.7510,2.0,-88.0,2.0
4,0.9405,1.7424,2.0,-88.0,4.0
5,0.9316,1.6707,2.0,-86.0,2.0
6,0.9260,1.6296,0.0,-86.0,4.0
7,0.9151,1.5581,2.0,-86.0,0.0
8,0.9138,1.5503,2.0,-86.0,4.0
9,0.9060,1.5050,-2.0,-86.0,2.0
10,0.9037,1.4918,0.0,-86.0,-2.0
11,0.9030,1.4882,2.0,-88.0,6.0
12,0.9019,1.4821,0.0,-86.0,6.0
13,0.8996,1.4704,-2.0,-86.0,0.0
14,0.8986,1.4649,0.0,-88.0,2.0
15,0.8983,1.4634,-2.0,-86.0,4.0
16,0.8935,1.4389,0.0,-88.0,0.0
17,0.8930,1.4363,0.0,-84.0,0.0
18,0.8926,1.4343,2.0,-90.0,4.0
19,0.8917,1.4300,0.0,-84.0,2.0
20,0.8864,1.4047,2.0,-86.0,6.0
