Volume,TransX_mm,TransY_mm,TransZ_mm,RotPitch_deg,RotRoll_deg,RotYaw_deg,FD_mm
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,-0.001461,0.019068,-0.015483,-0.012920,-0.039749,0.019389,0.098894
3,-0.007131,0.020956,-0.036546,0.009101,-0.118789,-0.101399,0.222222
4,-0.008426,0.034044,-0.019844,-0.022558,-0.176213,-0.216736,0.209476
5,-0.019836,0.038916,-0.015071,-0.027588,-0.103771,-0.139318,0.156222
6,0.000581,0.033288,-0.020334,-0.009830,-0.121543,-0.133499,0.067393
7,0.003926,0.039058,-0.003500,-0.008212,-0.183870,-0.162438,0.107006
8,0.012620,0.016149,-0.015378,-0.014261,-0.189453,-0.199861,0.086289
9,-0.000954,0.024513,-0.042013,-0.018312,-0.177943,-0.172002,0.086464
10,0.012147,0.033059,-0.024718,0.009858,-0.088599,-0.033652,0.262224
11,0.018043,0.032404,-0.029645,0.025577,-0.103647,-0.065735,0.066325
12,0.006272,0.018299,-0.033645,0.057142,-0.093881,-0.060886,0.070175
13,-0.001737,0.038305,-0.028597,-0.016703,-0.147437,-0.065965,0.148673
14,0.012839,0.025395,-0.022582,-0.004787,-0.135485,-0.114741,0.096895
15,0.030701,0.040633,-0.039228,0.015530,-0.131581,-0.088776,0.093541
16,-0.036209,0.001395,0.000415,0.079710,-0.215751,-0.226073,0.395065
17,0.015730,-0.003802,-0.027685,0.045027,-0.235698,-0.240160,0.145202
18,0.001679,0.043394,-0.052287,-0.005603,-0.163051,-0.208566,0.220999
19,-0.067611,0.036470,0.017470,0.076153,-0.027002,-0.125165,0.408823
20,-0.006777,0.039297,-0.033166,0.019974,-0.109775,-0.057903,0.294252
21,0.001007,0.022619,-0.036601,0.040620,-0.084055,-0.107149,0.111333
22,-0.030821,0.029898,0.008607,-0.004260,-0.040309,-0.122981,0.175469
23,0.017531,0.026792,-0.043383,0.042328,-0.136529,-0.138527,0.241635
24,-0.008077,0.045501,-0.034052,0.017107,-0.063552,-0.083384,0.187462
25,-0.011499,0.027609,0.001479,-0.002250,-0.083778,-0.095335,0.101816
26,-0.032051,0.047479,-0.007300,-0.020436,-0.087837,-0.064165,0.095815
27,0.013475,0.024377,-0.028034,0.042537,-0.107391,-0.097942,0.190857
28,-0.015284,0.028184,-0.009091,-0.046120,-0.093805,-0.085255,0.151806
29,0.008914,0.043941,-0.025529,-0.046985,-0.218639,-0.243199,0.303919
30,-0.008106,0.040729,-0.032471,-0.041083,-0.175992,-0.144216,0.155920
31,-0.006954,0.015257,-0.035357,0.097550,-0.239443,-0.197720,0.252552
32,-0.009238,0.028272,-0.028268,0.089955,-0.127260,-0.135403,0.181297
33,-0.042255,0.035658,0.025552,0.094637,-0.104978,-0.150310,0.130763
34,-0.004485,0.041965,-0.021579,0.082710,-0.234152,-0.210432,0.266807
35,0.015102,0.022430,-0.018674,0.034714,-0.135974,-0.159780,0.213790
36,0.000255,0.036249,-0.017266,-0.043887,-0.155688,-0.151310,0.123262
37,0.008563,0.000606,-0.027068,0.079992,-0.143717,-0.120607,0.199099
38,0.021423,0.013661,-0.037442,0.056450,-0.186288,-0.146857,0.116890
39,0.001644,0.037986,-0.029205,-0.005763,-0.165781,-0.109094,0.157484
40,-0.000990,0.023647,-0.032358,-0.000656,-0.209996,-0.219763,0.159744
41,-0.001743,0.002290,-0.020776,0.033400,-0.137840,-0.141477,0.194697
42,0.009876,0.005090,-0.043488,0.036993,-0.152278,-0.133096,0.060179
43,0.022619,0.015736,-0.019052,0.011985,-0.137799,-0.157146,0.103271
44,0.002570,0.015351,-0.030876,0.061692,-0.218372,-0.192257,0.176588
45,-0.019138,0.042998,-0.028401,0.051120,-0.154967,-0.123993,0.175958
